2.386 3.077 3 3 1.74  25.72 77.36 9.32  38.32 21.32 92.56
2.544 1.972 2 2 1.34  24.76 77.88 10.00 40.20 29.72 73.56
2.807 3.347 3 2 1.61  8.88  30.80 10.60 47.00 21.40 64.80
4.308 1.933 2 3 2.15  22.70 56.40 11.92 43.52 29.72 90.00
4.383 1.081 5 3 1.57  34.32 66.40 16.32 38.52 26.20 88.40
3.244 4.519 5 3 1.15  31.28 72.40 3.50  40.40 22.04 75.40
3.925 3.785 5 3 0.89  27.44 60.00 15.08 30.52 21.76 72.40
2.116 3.498 1 3 0.53  66.12 141.00  4.20  25.40 9.72  72.08
1.842 0.989 1 3 0.24  22.32 52.40 4.52  27.96 11.32 56.40
1.709 1.843 3 3 0.63  18.72 41.60 12.08 33.32 16.88 75.60
3.800 4.578 1 3 3.87  22.24 46.00 9.84  46.00 21.64 143.20
2.699 1.199 1 1 1.43  8.76  56.40 7.56  40.80 15.72 66.80
3.033 4.384 5 3 0.46  21.36 38.36 2.36  19.24 7.08  37.88
4.232 1.588 2 1 1.03  5.88  52.80 8.84  28.32 17.40 47.60
4.750 1.369 2 3 0.78  17.60 32.92 11.96 35.60 23.76 70.80
2.341 4.135 1 3 0.62  18.52 42.00 5.32  31.00 10.80 46.80
2.827 3.667 5 3 0.40  3.96  21.48 4.68  20.52 6.68  25.20
3.043 4.692 1 3 0.63  8.24  29.92 3.53  25.20 11.32 31.32
1.687 1.174 1 3 0.36  21.56 46.80 3.64  18.40 6.64  39.56
2.235 2.386 5 3 1.59  40.88 88.68 12.44 40.56 25.08 114.28
3.122 1.695 2 3 1.89  35.92 72.88 12.92 44.00 34.72 120.28
2.219 2.774 2 2 1.30  8.80  56.52 13.04 32.48 31.52 71.76
3.185 2.092 2 3 1.58  22.12 43.68 11.20 35.72 35.00 90.68
3.514 5.119 1 2 4.19  15.48 33.36 9.28  52.00 21.76 145.60
4.459 2.624 2 1 1.49  11.16 34.64 6.84  19.00 15.84 82.80
4.339 1.473 5 3 0.92  39.80 64.80 10.80 32.72 18.60 86.00
4.920 1.417 2 3 0.71  15.76 39.52 8.56  30.28 21.96 66.40
3.648 3.780 2 3 0.62  48.80 63.20 14.16 28.56 24.44 78.00
2.916 4.916 1 1 0.89  4.52  37.16 6.28  27.92 13.88 46.80
3.127 1.691 2 3 1.96  47.12 93.92 13.40 45.20 35.12 123.84
3.441 4.719 5 2 3.16  48.80 55.60 9.28  62.40 24.28 151.60
3.336 4.613 5 3 1.28  24.96 49.20 5.92  38.52 23.28 81.60
3.649 2.674 2 1 1.79  9.65  58.40 7.44  23.72 17.72 58.00
3.875 4.924 5 3 1.90  25.28 35.60 11.48 52.00 26.72 141.60
2.612 4.114 1 3 0.57  33.80 58.40 4.88  27.32 7.44  47.60
2.340 4.141 1 3 0.54  17.40 36.88 5.48  35.72 10.60 53.20
3.811 1.318 2 3 0.75  16.40 39.80 12.60 36.20 26.60 80.80
3.661 3.788 2 3 0.88  65.20 69.60 14.64 28.88 20.80 76.40
3.340 3.736 3 2 2.82  29.12 46.00 11.24 35.04 21.96 80.80
2.972 0.988 3 2 3.81  112.04  229.56  9.16  67.04 28.88 219.32
2.286 3.068 3 3 0.61  28.80 56.60 9.68  27.32 12.80 67.16
1.813 2.116 3 3 1.00  21.20 48.80 11.32 33.48 20.56 110.00
3.379 4.308 5 3 1.90  10.28 36.44 8.52  46.40 24.80 83.60
1.965 2.807 3 3 0.90  60.72 89.68 12.60 41.60 24.16 102.44
3.559 4.009 3 2 4.02  21.08 52.00 6.16  60.80 21.96 101.60
2.267 4.189 1 3 0.56  12.72 39.64 6.64  35.12 11.12 57.20
2.965 1.002 3 2 1.39  57.20 129.20  10.36 45.60 24.60 149.20
3.120 1.469 3 1 1.91  11.60 69.16 2.12  31.12 8.00  50.40
3.454 4.654 5 2 1.07  10.88 29.88 7.80  38.24 19.92 70.80
1.071 1.567 3 2 0.80  9.92  37.48 9.96  29.08 15.28 65.60
3.573 3.542 5 3 0.55  50.40 77.20 9.56  26.60 16.00 76.00
3.331 4.609 5 3 1.26  49.60 80.40 7.00  42.80 25.44 101.60
3.541 1.739 3 4 2.06  10.80 43.60 6.32  29.80 20.80 59.36
3.303 3.963 3 3 1.22  51.60 80.80 11.00 34.04 20.32 90.00
3.316 2.987 5 3 0.98  30.10 48.80 14.60 33.00 23.60 83.20
1.879 1.171 1 3 0.47  23.32 54.80 4.00  24.64 9.16  44.40
1.122 2.267 2 3 1.15  14.80 47.60 11.08 37.08 31.56 74.40
4.423 1.078 5 3 1.53  22.00 46.80 16.92 38.60 26.80 87.60
